File.......:  puo2_50eu_gbl_113 - JUL;03.2018,,,,,
,,,,,
System.....:  PuO2_50Eu_gbl_1,,,,,
Potential..:  4.000V
Current....:  6.7298uA,,,,,
Temperature:  0.0+-0.0C,,,,,
Time.......:  13:25:29 - 13:31:12,,,,,
Comment....:  ,,,,,
              ,,,,,
              ,,,,,
              ,,,,,
(area/cm^2):  Main,,,,,
potential..:   4.0 V,,,,,
Impedance samples,,,,,
,,,,,
Lines:   78,,,,,
Columns: 5,,,,,

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.00E+05,7.53E+03,-8.14,1,10.8
22,7.99E+04,7.62E+03,-11.44,1,11.3
23,6.38E+04,7.82E+03,-14.96,1,11.8
24,5.09E+04,8.14E+03,-18.54,1,12.3
25,4.07E+04,8.59E+03,-22.1,1,12.8
26,3.25E+04,9.18E+03,-25.54,0.997,13.3
27,2.60E+04,9.94E+03,-28.73,1,13.8
28,2.07E+04,1.09E+04,-31.56,0.999,14.3
29,1.66E+04,1.20E+04,-33.89,1,14.8
30,1.32E+04,1.34E+04,-35.65,0.999,15.3
31,1.06E+04,1.50E+04,-36.82,0.999,15.7
32,8.44E+03,1.68E+04,-37.36,0.998,16.3
33,6.74E+03,1.89E+04,-37.27,0.999,16.7
34,5.38E+03,2.11E+04,-36.68,0.999,17.2
35,4.30E+03,2.34E+04,-35.64,0.999,17.7
36,3.43E+03,2.58E+04,-34.38,1,18.2
37,2.74E+03,2.82E+04,-32.82,0.999,18.7
38,2.19E+03,3.07E+04,-31.17,0.998,19.2
39,1.75E+03,3.31E+04,-29.55,0.998,19.7
40,1.40E+03,3.55E+04,-27.98,0.999,20.1
41,1.12E+03,3.79E+04,-26.53,0.997,20.6
42,8.91E+02,4.02E+04,-25.25,0.997,21.1
43,7.12E+02,4.26E+04,-24.06,0.999,21.6
44,5.68E+02,4.50E+04,-23,0.999,22.1
45,4.54E+02,4.75E+04,-22,0.998,22.6
46,3.63E+02,5.00E+04,-21.1,0.999,23
47,2.90E+02,5.26E+04,-20.33,0.997,23.5
48,2.31E+02,5.53E+04,-19.53,0.998,24
49,1.85E+02,5.80E+04,-18.7,0.998,24.5
50,1.48E+02,6.09E+04,-17.9,0.999,24.9
51,1.18E+02,6.38E+04,-16.96,0.999,25.5
52,9.41E+01,6.68E+04,-15.98,0.999,26
53,7.52E+01,6.97E+04,-14.64,0.999,26.9
54,5.97E+01,7.26E+04,-13.38,0.999,28.5
55,4.73E+01,7.54E+04,-11.88,0.999,30.3
56,3.73E+01,7.80E+04,-10.41,0.999,31.7
57,2.94E+01,8.01E+04,-8.65,0.999,33.2
58,2.30E+01,8.19E+04,-6.73,0.999,34.9
59,1.80E+01,8.31E+04,-4.76,0.999,36.7
60,1.40E+01,8.37E+04,-2.82,0.999,38.7
61,1.09E+01,8.36E+04,-0.93,0.999,41

